RankingTypeID,PointsTot_ForAllPlayerStats,SpikePerf,SpikePos,RecPos,RecPerf,PointsW_P,Libero,SpikeTot,RecTot,PlayedMatches,PlayedSet,SpikeWin_MatchWin,SpikeWin_MatchLose,BlockWin_MatchWin,BlockWin_MatchLose,ServeWin_MatchWin,ServeWin_MatchLose,RecEffPerc,RecWinPerc,ServeWinMatch,ServeWinSet,BlockWinSet,SpikerEff,SpikerPos,SpikerPerSet,PointsTot,MatchName,PointsPerMatch,PointsPerSet,PlayerSetData,PlayerMatchID,ChampionshipMatchID,ChampionshipID,TeamID,PlayerID,PlayedSets,Points,SideOut,ServeErr,ServeWin,ServeMinus,ServePlus,ServeHP,ServeEx,RecErr,RecWin,RecMinus,RecPlus,RecHP,RecEx,SpikeErr,SpikeWin,SpikeMinus,SpikePlus,SpikeHP,SpikeEx,BlockErr,BlockWin,BlockMinus,BlockPlus,BlockHP,BlockEx,PositionID,Captain,Number,Vote,Surname,Name,Team
0,38,38 %,57 %,58 %,26 %,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,61,2709,13,16,22,3,2,17,14,0,7,4,22,32,27,0,0,6,34,19,17,13,0,1,2,0,6,0,0,0,False,9,0,Crncevic,Aleksandra,天津渤海
0,36,63 %,89 %,.,.,33,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,59,2228,12,15,21,0,2,20,3,0,9,0,0,0,0,0,0,2,29,2,12,1,0,5,5,2,11,0,0,0,False,16,0,Elsie,Tetori,北京汽车
0,35,31 %,63 %,.,.,18,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,56,1890,12,8,27,0,1,12,6,0,4,0,0,0,0,0,0,10,33,23,35,7,0,7,1,0,3,0,0,0,False,10,0,Kelly,Murphy,上海光明优倍
0,0,.,.,.,.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,59,2229,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,19,0,Kingdon,Madison,北京汽车
0,64,40 %,77 %,.,.,49,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,59,2226,12,27,37,3,1,22,8,0,3,0,0,0,0,0,0,7,55,20,52,5,0,4,8,1,5,0,0,0,False,4,0,Rourke,Rachel,北京汽车
0,11,42 %,67 %,.,.,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,59,1201,12,7,4,0,6,26,21,0,12,0,0,0,0,0,0,1,5,3,3,0,0,3,0,0,2,0,0,0,False,8,0,丁,霞,北京汽车
0,2,17 %,67 %,55 %,18 %,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,61,998,3,1,1,0,0,4,0,0,0,1,2,4,4,0,0,1,2,3,6,0,0,0,0,0,0,0,0,0,False,5,0,于,鋆炜,天津渤海
0,0,0 %,13 %,43 %,43 %,-6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,56,1277,1,0,0,0,0,1,0,0,1,1,3,3,0,0,0,1,0,2,1,4,0,0,0,0,1,0,0,0,False,17,0,仲,慧,上海光明优倍
0,19,38 %,83 %,93 %,73 %,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,59,1073,5,8,11,1,2,12,2,0,2,0,11,1,3,0,0,3,16,3,19,1,0,4,1,0,1,0,0,0,False,1,0,任,凯懿,北京汽车
0,0,.,.,72 %,68 %,-1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,64,1761,11,0,0,0,0,0,0,0,0,1,17,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,18,0,倪,非凡,江苏中天钢铁
0,20,64 %,82 %,0 %,0 %,16,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,64,1027,15,15,5,3,10,15,19,0,17,0,0,1,0,0,0,1,7,1,2,0,0,3,3,0,5,0,0,0,False,6,0,刁,琳宇,江苏中天钢铁
0,54,41 %,73 %,68 %,50 %,32,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,59,1077,12,27,27,5,5,30,10,0,7,5,41,21,15,0,0,6,46,18,37,6,0,5,3,1,5,0,0,0,False,5,0,刘,晓彤,北京汽车
0,0,.,.,50 %,50 %,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,59,1086,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,12,0,刘,梦瑶,北京汽车
0,0,.,.,73 %,64 %,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,61,1003,10,0,0,0,0,0,0,0,0,0,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,10,0,刘,立雯,天津渤海
0,1,33 %,100 %,.,.,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,56,988,9,0,1,1,0,15,7,0,5,0,0,0,0,0,0,0,1,0,2,0,0,5,0,0,2,0,0,0,False,16,0,卞,雨倩,上海光明优倍
0,31,31 %,56 %,43 %,22 %,11,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,64,1021,13,11,20,2,0,10,8,0,5,8,8,13,8,0,0,5,30,33,25,5,0,3,1,0,2,0,0,0,False,12,0,吴,晗,江苏中天钢铁
0,32,45 %,61 %,.,.,19,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,64,1028,15,11,21,8,7,11,19,0,8,0,0,0,0,0,0,0,17,10,6,5,0,8,8,0,8,0,0,0,False,3,0,周,馨忆,江苏中天钢铁
0,7,0 %,56 %,.,.,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,61,1009,15,5,2,4,4,33,17,0,11,0,0,0,0,0,0,1,0,3,5,0,0,6,3,0,4,0,0,0,False,16,0,姚,迪,天津渤海
0,5,100 %,100 %,.,.,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,56,1200,8,4,1,1,4,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,False,18,0,孙,海平,上海光明优倍
0,0,.,.,59 %,46 %,-6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,61,1006,12,0,0,0,0,0,0,0,0,6,19,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,13,0,孟,子旋,天津渤海
0,28,47 %,80 %,.,.,21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,59,1078,12,14,14,5,1,16,6,0,5,0,0,0,0,0,0,1,14,4,10,1,0,8,13,4,21,0,0,0,False,6,0,张,宇,北京汽车
0,65,39 %,69 %,59 %,44 %,33,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,64,1022,15,29,36,4,3,15,18,0,11,9,50,37,17,0,0,11,54,24,42,8,0,4,8,0,3,0,0,0,False,2,0,张,常宁,江苏中天钢铁
0,11,25 %,70 %,.,.,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,56,981,6,3,8,1,1,6,1,0,1,0,0,0,0,0,0,4,10,6,18,2,0,2,0,0,2,0,0,0,False,8,0,张,磊,上海光明优倍
0,29,27 %,66 %,68 %,53 %,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,56,979,12,11,18,5,1,20,11,0,3,9,60,27,17,0,0,3,24,19,35,9,0,10,4,1,2,0,0,0,False,5,0,张,轶婵,上海光明优倍
0,1,25 %,50 %,.,.,-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,56,967,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,False,2,0,张,钰倩,上海光明优倍
0,0,.,.,.,.,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,64,1023,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,7,0,戎,万千百,江苏中天钢铁
0,3,30 %,90 %,86 %,71 %,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,59,971,6,1,2,1,0,7,1,0,0,0,5,1,1,0,0,0,3,1,6,0,0,1,0,0,0,0,0,0,False,9,0,曾,春蕾,北京汽车
0,0,.,.,.,.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,59,1175,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,10,0,李,伟伟,北京汽车
0,105,42 %,69 %,52 %,33 %,64,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,61,994,15,47,58,6,6,11,19,0,6,4,9,9,5,0,0,19,92,36,60,12,0,3,7,0,3,0,0,0,False,1,0,李,盈莹,天津渤海
0,13,35 %,52 %,58 %,24 %,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,61,1222,8,10,3,1,4,6,5,0,2,1,8,13,11,0,0,4,8,7,4,0,0,2,1,0,2,0,0,0,False,11,0,杜,清清,天津渤海
0,44,39 %,80 %,75 %,54 %,32,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,56,982,12,14,30,2,1,22,3,0,9,6,50,17,19,0,0,1,41,17,44,3,0,2,2,1,1,0,0,0,False,9,0,杨,婕,上海光明优倍
0,13,38 %,83 %,62 %,40 %,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,61,1000,15,9,4,2,2,20,9,0,7,6,29,22,16,0,0,2,11,1,13,2,0,3,0,0,7,0,0,0,False,7,0,杨,艺,天津渤海
0,0,.,.,.,.,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,56,1279,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,20,0,江,静,上海光明优倍
0,0,.,.,84 %,71 %,-2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,56,966,12,0,0,0,0,0,0,0,0,2,32,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1,0,王,唯漪,上海光明优倍
0,44,57 %,69 %,.,.,33,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,61,1008,15,25,19,3,7,29,14,0,6,0,0,0,0,0,0,7,28,7,6,1,0,10,9,0,13,0,0,0,False,15,0,王,媛媛,天津渤海
0,0,.,.,74 %,66 %,-5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,59,1230,12,0,0,0,0,0,0,0,0,5,33,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,18,0,王,梦洁,北京汽车
0,0,.,.,100 %,100 %,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,59,1775,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,17,0,王,琳,北京汽车
0,24,39 %,77 %,.,.,19,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,64,1031,15,12,12,0,7,14,10,0,11,0,0,0,0,0,0,4,12,2,12,1,0,3,5,0,13,0,0,0,False,11,0,王,辰玥,江苏中天钢铁
0,0,.,.,.,.,-1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,64,1026,6,0,0,1,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,4,0,王,雨琦,江苏中天钢铁
0,23,37 %,73 %,.,.,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,56,980,12,8,15,3,0,16,2,0,2,0,0,0,0,0,0,0,19,11,19,3,0,7,4,3,8,0,0,0,False,7,0,秦,思宇,上海光明优倍
0,30,40 %,79 %,100 %,50 %,23,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,56,1199,12,12,18,2,5,15,10,0,9,0,1,0,1,0,0,3,21,6,21,2,0,10,4,2,5,0,0,0,False,15,0,胡,铭媛,上海光明优倍
