RankingTypeID,PointsTot_ForAllPlayerStats,SpikePerf,SpikePos,RecPos,RecPerf,PointsW_P,Libero,SpikeTot,RecTot,PlayedMatches,PlayedSet,SpikeWin_MatchWin,SpikeWin_MatchLose,BlockWin_MatchWin,BlockWin_MatchLose,ServeWin_MatchWin,ServeWin_MatchLose,RecEffPerc,RecWinPerc,ServeWinMatch,ServeWinSet,BlockWinSet,SpikerEff,SpikerPos,SpikerPerSet,PointsTot,MatchName,PointsPerMatch,PointsPerSet,PlayerSetData,PlayerMatchID,ChampionshipMatchID,ChampionshipID,TeamID,PlayerID,PlayedSets,Points,SideOut,ServeErr,ServeWin,ServeMinus,ServePlus,ServeHP,ServeEx,RecErr,RecWin,RecMinus,RecPlus,RecHP,RecEx,SpikeErr,SpikeWin,SpikeMinus,SpikePlus,SpikeHP,SpikeEx,BlockErr,BlockWin,BlockMinus,BlockPlus,BlockHP,BlockEx,PositionID,Captain,Number,Vote,Surname,Name,Team
0,194,45 %,66 %,100 %,0 %,147,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,66,1895,37,64,130,6,6,42,19,0,37,0,0,0,2,0,0,29,171,88,78,12,0,21,17,1,59,0,0,0,False,19,0,Bell,Katherine,河南银鸽投资
0,106,43 %,59 %,100 %,25 %,57,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,63,1883,23,34,72,5,7,41,9,0,13,0,1,0,3,0,0,24,94,46,33,20,0,15,5,2,4,0,0,0,False,16,0,Caixeta,Tandara,广东恒大
0,193,39 %,63 %,65 %,32 %,79,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,61,2709,46,64,129,8,4,82,46,0,27,25,83,66,83,0,0,37,175,86,109,44,0,25,14,2,29,0,0,0,False,9,0,Crncevic,Aleksandra,天津渤海
0,173,49 %,69 %,50 %,25 %,141,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,59,2228,56,80,93,9,9,63,47,0,38,2,1,0,1,0,0,10,114,51,46,11,0,53,50,17,68,0,0,0,False,16,0,Elsie,Tetori,北京汽车
0,80,36 %,70 %,62 %,48 %,42,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,57,2901,23,32,48,8,7,35,17,0,14,0,10,8,3,0,0,15,63,23,59,15,0,11,10,1,14,0,0,0,False,19,0,Katja,Stam,云南大学滇池学院
0,185,41 %,71 %,0 %,0 %,113,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,56,1890,48,85,100,18,8,81,34,0,39,0,0,1,0,0,0,20,169,64,121,34,0,30,8,1,29,0,0,0,False,10,0,Kelly,Murphy,上海光明优倍
0,94,35 %,59 %,77 %,44 %,46,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,59,2229,25,39,55,4,10,36,26,0,14,9,51,17,38,0,0,16,80,58,55,19,0,8,4,0,5,0,0,0,False,19,0,Kingdon,Madison,北京汽车
0,262,46 %,67 %,82 %,61 %,136,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,63,1882,52,113,149,29,18,71,45,0,21,28,239,44,80,0,0,35,214,84,102,34,0,21,30,0,25,0,0,0,False,5,0,Rabadzhieva,Dobriana Ivanova,广东恒大
0,165,44 %,72 %,74 %,46 %,91,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,66,1894,37,73,92,14,17,44,25,0,52,22,90,30,55,0,0,24,139,52,90,14,0,7,9,0,39,0,0,0,False,20,0,Rolfzen,Kadie,河南银鸽投资
0,152,35 %,51 %,.,.,97,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,59,2226,37,54,98,10,8,26,31,0,29,0,0,0,0,0,0,19,125,129,55,26,0,15,19,7,14,0,0,0,False,4,0,Rourke,Rachel,北京汽车
