RankingTypeID,PointsTot_ForAllPlayerStats,SpikePerf,SpikePos,RecPos,RecPerf,PointsW_P,Libero,SpikeTot,RecTot,PlayedMatches,PlayedSet,SpikeWin_MatchWin,SpikeWin_MatchLose,BlockWin_MatchWin,BlockWin_MatchLose,ServeWin_MatchWin,ServeWin_MatchLose,RecEffPerc,RecWinPerc,ServeWinMatch,ServeWinSet,BlockWinSet,SpikerEff,SpikerPos,SpikerPerSet,PointsTot,MatchName,PointsPerMatch,PointsPerSet,PlayerSetData,PlayerMatchID,ChampionshipMatchID,ChampionshipID,TeamID,PlayerID,PlayedSets,Points,SideOut,ServeErr,ServeWin,ServeMinus,ServePlus,ServeHP,ServeEx,RecErr,RecWin,RecMinus,RecPlus,RecHP,RecEx,SpikeErr,SpikeWin,SpikeMinus,SpikePlus,SpikeHP,SpikeEx,BlockErr,BlockWin,BlockMinus,BlockPlus,BlockHP,BlockEx,PositionID,Captain,Number,Vote,Surname,Name,Team
0,8,42 %,68 %,100 %,83 %,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,281,4184,2,2,6,1,0,4,0,0,0,0,5,0,1,0,0,3,8,2,5,1,0,0,0,0,2,0,0,0,False,14,0,Bartsch,Michelle,北京汽车
0,34,46 %,77 %,50 %,25 %,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,289,4212,6,10,24,4,1,4,3,0,2,1,2,1,2,0,2,5,32,5,21,5,1,1,1,0,3,0,1,0,False,19,0,Bokan,Tatjana,浙江嘉善西塘古镇
0,22,49 %,66 %,.,.,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,281,4186,8,5,17,1,0,17,4,0,1,0,0,0,0,0,0,3,17,6,6,2,1,7,5,2,4,0,0,0,False,16,0,Dixon,Tetori,北京汽车
0,19,34 %,44 %,0 %,0 %,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,283,4189,8,7,12,2,0,9,4,0,4,1,0,0,0,0,0,6,14,16,4,0,1,11,5,3,1,0,2,0,False,9,0,Hooker,Destinee,天津渤海
0,50,46 %,64 %,.,.,35,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,285,4198,10,14,36,1,2,20,5,0,6,0,0,0,0,0,0,7,43,16,17,7,4,6,5,0,0,0,1,0,False,15,0,Kosheleva,Tatyana,广东恒大
0,55,43 %,63 %,76 %,63 %,34,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,278,2348,12,18,37,5,0,22,15,2,4,1,24,5,5,3,0,5,49,23,23,10,5,5,6,0,2,0,4,0,False,10,0,Larson,Jordan ,上海光明优倍
0,44,37 %,54 %,50 %,0 %,25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,278,3315,8,16,28,2,2,18,7,1,4,0,0,0,1,1,0,11,41,30,20,6,4,4,1,0,1,0,1,0,False,11,0,Lippmann,Louisa,上海光明优倍
0,39,40 %,79 %,67 %,37 %,28,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,291,4232,12,13,26,2,0,30,6,0,14,3,31,21,25,3,0,3,35,9,34,3,3,7,4,0,0,0,4,0,False,17,0,Newcombe,Sonja Elizabeth,辽宁华君
0,51,48 %,81 %,0 %,0 %,38,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,279,4220,8,23,28,3,5,7,16,0,5,1,0,0,0,0,0,2,41,7,28,7,0,4,5,0,6,0,0,0,False,5,0,Perovic,Nikoleta,云南大学滇池学院
0,39,30 %,56 %,67 %,57 %,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,285,1882,12,14,25,2,3,29,5,1,3,3,82,15,14,2,27,14,34,20,29,4,11,4,2,0,1,0,3,0,False,5,0,Rabadzhieva,Dobriana Ivanova,广东恒大
0,32,39 %,50 %,.,.,22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,281,2226,7,12,20,0,3,18,4,2,4,0,0,0,0,0,0,4,28,26,8,6,0,5,1,0,3,0,0,0,False,4,0,Rourke,Rachel,北京汽车
0,72,43 %,78 %,0 %,0 %,43,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,291,4218,12,27,45,6,0,11,5,1,5,0,0,1,0,0,0,9,62,8,51,14,1,7,10,0,7,0,2,0,False,18,0,ROVNAMAMMADOVA,NATALYA ALEKSAND,辽宁华君
0,19,44 %,81 %,50 %,50 %,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,289,4211,6,10,9,2,1,7,6,0,4,0,1,0,0,0,1,1,12,1,10,3,0,6,6,0,5,0,0,0,False,18,0,Sasa,Planinsec,浙江嘉善西塘古镇
0,7,71 %,86 %,100 %,0 %,-2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,291,1201,12,2,5,8,0,18,14,0,9,0,0,0,2,0,0,1,5,0,1,0,0,13,2,0,1,0,0,0,False,8,0,丁,霞,辽宁华君
0,0,.,.,.,.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,281,4181,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,7,0,乔,琳,北京汽车
0,1,20 %,100 %,0 %,0 %,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,289,1311,3,1,0,1,0,1,2,1,1,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,1,0,0,0,False,2,0,于,师羽,浙江嘉善西塘古镇
0,0,.,.,74 %,61 %,-2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,282,1262,6,0,0,0,0,0,0,0,0,2,28,6,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,False,17,0,于,晚秋,四川劲浪体育
0,0,.,.,.,.,-1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,283,998,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,4,0,于,鋆炜,天津渤海
0,0,0 %,0 %,.,.,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,278,1277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,17,0,仲,慧,上海光明优倍
0,0,.,.,100 %,100 %,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,281,1073,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1,0,任,凯懿,北京汽车
0,0,.,.,78 %,48 %,-2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,286,1761,11,0,0,0,0,0,0,0,0,2,29,8,18,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,False,18,0,倪,非凡,江苏中天钢铁
0,11,50 %,60 %,.,.,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,286,1027,11,3,8,4,2,15,17,2,10,0,0,0,0,0,0,1,5,0,1,2,1,2,4,0,2,0,6,0,False,6,0,刁,琳宇,江苏中天钢铁
0,23,38 %,54 %,63 %,37 %,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,281,1077,8,9,14,0,1,13,3,4,2,3,26,19,18,3,1,4,21,17,9,5,0,1,1,0,5,0,0,0,False,5,0,刘,晓彤,北京汽车
