RankingTypeID,PointsTot_ForAllPlayerStats,SpikePerf,SpikePos,RecPos,RecPerf,PointsW_P,Libero,SpikeTot,RecTot,PlayedMatches,PlayedSet,SpikeWin_MatchWin,SpikeWin_MatchLose,BlockWin_MatchWin,BlockWin_MatchLose,ServeWin_MatchWin,ServeWin_MatchLose,RecEffPerc,RecWinPerc,ServeWinMatch,ServeWinSet,BlockWinSet,SpikerEff,SpikerPos,SpikerPerSet,PointsTot,MatchName,PointsPerMatch,PointsPerSet,PlayerSetData,PlayerMatchID,ChampionshipMatchID,ChampionshipID,TeamID,PlayerID,PlayedSets,Points,SideOut,ServeErr,ServeWin,ServeMinus,ServePlus,ServeHP,ServeEx,RecErr,RecWin,RecMinus,RecPlus,RecHP,RecEx,SpikeErr,SpikeWin,SpikeMinus,SpikePlus,SpikeHP,SpikeEx,BlockErr,BlockWin,BlockMinus,BlockPlus,BlockHP,BlockEx,PositionID,Captain,Number,Vote,Surname,Name,Team
0,60,40 %,51 %,76 %,64 %,36,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,281,4184,13,21,39,2,8,19,13,1,9,2,37,9,7,0,3,13,51,38,13,7,4,6,1,0,0,0,2,0,False,14,0,Bartsch,Michelle,北京汽车
0,29,39 %,63 %,50 %,25 %,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,289,4212,6,18,11,2,4,8,3,1,0,1,1,1,1,0,0,5,23,15,14,2,0,0,2,0,3,0,0,0,False,19,0,Bokan,Tatjana,浙江嘉善西塘古镇
0,54,60 %,68 %,.,.,48,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,281,4186,15,27,27,0,0,18,3,1,4,0,0,0,0,0,0,1,38,14,5,5,0,13,16,2,3,0,11,0,False,16,0,Dixon,Tetori,北京汽车
0,65,42 %,82 %,.,.,55,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,283,4189,15,21,44,5,2,27,13,1,12,0,0,0,0,0,0,3,59,12,55,2,8,8,4,0,2,0,3,0,False,9,0,Hooker,Destinee,天津渤海
0,74,40 %,69 %,.,.,56,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,285,4198,17,27,47,1,2,36,9,0,10,0,0,0,0,0,0,7,63,26,46,10,7,9,9,0,4,0,2,0,False,15,0,Kosheleva,Tatyana,广东恒大
0,69,44 %,67 %,71 %,53 %,51,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,278,2348,16,35,34,5,5,31,13,3,8,0,37,4,13,2,14,7,60,23,31,6,8,5,4,0,4,0,1,0,False,10,0,Larson,Jordan ,上海光明优倍
0,108,46 %,66 %,75 %,75 %,85,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,278,3315,16,35,73,6,6,29,8,2,4,0,3,1,0,0,0,7,93,37,41,10,15,9,9,0,1,0,2,0,False,11,0,Lippmann,Louisa,上海光明优倍
0,44,35 %,63 %,74 %,57 %,25,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,291,4232,15,16,28,2,4,26,6,3,6,7,63,19,18,2,1,4,38,27,30,6,3,8,2,0,2,0,1,0,False,17,0,Newcombe,Sonja Elizabeth,辽宁华君
0,31,42 %,73 %,0 %,0 %,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,279,4220,7,15,16,0,5,12,4,1,9,1,0,0,0,0,0,3,22,3,16,7,1,2,4,0,0,0,0,0,False,5,0,Perovic,Nikoleta,云南大学滇池学院
0,55,35 %,57 %,82 %,63 %,21,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,285,1882,17,25,30,6,2,31,8,3,9,6,87,13,27,4,2,11,47,31,29,11,5,8,6,0,5,0,1,0,False,5,0,Rabadzhieva,Dobriana Ivanova,广东恒大
0,35,46 %,66 %,.,.,27,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,281,2226,9,15,20,1,3,5,1,2,14,0,0,0,0,0,0,5,30,15,13,2,0,2,2,0,0,0,1,0,False,4,0,Rourke,Rachel,北京汽车
0,32,41 %,59 %,50 %,0 %,15,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,291,4218,12,9,23,5,0,10,2,0,1,0,0,1,1,0,0,5,31,16,13,7,3,4,1,0,2,0,8,0,False,18,0,ROVNAMAMMADOVA,NATALYA ALEKSAND,辽宁华君
0,18,65 %,94 %,.,.,17,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,289,4211,6,10,8,1,3,4,9,0,1,0,0,0,0,0,0,0,11,1,5,0,0,4,4,0,9,0,0,0,False,18,0,Sasa,Planinsec,浙江嘉善西塘古镇
0,12,50 %,69 %,.,.,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,291,1201,14,7,5,1,2,24,9,0,5,0,0,0,0,0,0,1,8,2,3,2,0,5,2,0,1,0,1,0,False,8,0,丁,霞,辽宁华君
0,0,.,.,40 %,0 %,-1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,281,4181,7,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,7,0,乔,琳,北京汽车
0,0,.,.,86 %,11 %,-2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,282,1262,9,0,0,0,0,0,0,0,0,2,4,2,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,17,0,于,晚秋,四川劲浪体育
0,32,36 %,75 %,66 %,47 %,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,283,998,12,18,14,2,8,31,9,4,10,3,15,6,6,1,1,6,21,3,23,4,2,1,3,0,2,0,1,0,False,4,0,于,鋆炜,天津渤海
0,2,22 %,78 %,53 %,47 %,-3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,278,1277,4,0,2,0,0,2,3,0,0,3,7,1,1,1,2,2,2,0,5,0,0,0,0,0,0,0,0,0,False,17,0,仲,慧,上海光明优倍
0,12,34 %,69 %,80 %,25 %,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,281,1073,12,3,9,2,1,15,5,1,5,3,5,1,11,0,0,1,11,7,11,1,1,3,0,0,0,0,4,0,False,1,0,任,凯懿,北京汽车
0,0,.,.,67 %,49 %,-8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,286,1761,17,0,0,0,0,0,0,0,0,8,45,14,16,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,False,18,0,倪,非凡,江苏中天钢铁
0,1,100 %,100 %,.,.,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,281,1081,7,0,1,0,0,4,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False,11,0,关,瑞格,北京汽车
0,9,42 %,58 %,100 %,0 %,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,286,1027,17,4,5,4,4,21,12,2,13,0,0,0,1,0,0,2,5,1,2,2,0,8,0,0,1,0,0,0,False,6,0,刁,琳宇,江苏中天钢铁
0,0,0 %,100 %,.,.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,287,1146,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,False,9,0,刘,佳瑶,河北海瑞
0,85,41 %,81 %,54 %,37 %,59,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,280,1051,18,19,66,5,4,19,8,1,23,3,17,11,8,2,5,9,78,17,74,9,1,13,3,0,4,0,0,0,False,5,0,刘,晏含,八一南昌
0,47,44 %,53 %,72 %,41 %,30,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,281,1077,12,15,32,3,2,14,6,1,18,6,28,9,21,4,0,4,41,35,9,4,1,5,4,1,1,0,2,0,False,5,0,刘,晓彤,北京汽车
